A:\16-05\IndusFont1840Out7\00000013.bmp,2,1,4,2,4,1,4,2,1,1,6,2,3,1,6,2,3,3,3,3,3,3,3,3,3,3,6,3,3,3,6,3,
A:\16-05\IndusFont1840Out7\00000014.bmp,3,1,4,2,3,1,4,2,2,1,6,2,4,1,2,2,3,3,3,3,3,3,3,3,12,0,6,3,3,3,3,3,
A:\16-05\IndusFont1840Out7\00000015.bmp,2,1,4,2,2,1,2,2,3,1,11,0,5,1,2,2,3,3,3,3,3,3,3,3,11,0,11,0,11,0,3,3,
A:\16-05\IndusFont1840Out7\00001000.bmp,2,1,4,2,2,1,2,2,1,1,11,0,4,1,2,2,3,3,3,3,3,3,3,3,11,0,11,0,11,0,3,3,
A:\16-05\IndusFont1840Out7\00001001.bmp,2,1,4,2,2,1,2,2,1,1,11,0,4,1,2,2,3,3,3,3,3,3,3,3,11,0,11,0,11,0,3,3,
A:\16-05\IndusFont1840Out7\00001002.bmp,2,1,4,2,3,1,2,2,1,1,2,2,4,1,2,2,3,3,3,3,3,3,3,3,11,0,11,0,3,3,3,3,
A:\16-05\IndusFont1840Out7\00001003.bmp,2,1,4,2,2,1,2,2,1,1,11,0,5,1,2,2,3,3,3,3,3,3,3,3,11,0,11,0,11,0,3,3,
A:\16-05\IndusFont1840Out7\00001004.bmp,1,1,4,2,3,1,2,2,12,0,12,0,5,3,12,0,3,3,3,3,3,3,3,3,12,0,12,0,12,0,6,6,
A:\16-05\IndusFont1840Out7\00001005.bmp,4,1,4,2,2,1,4,2,3,1,2,2,5,1,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,3,
A:\16-05\IndusFont1840Out7\00001006.bmp,4,1,4,2,2,1,4,2,3,1,2,2,5,1,2,2,3,3,3,3,3,3,3,3,11,0,3,3,3,3,6,3,
A:\16-05\IndusFont1840Out7\00001007.bmp,2,1,4,2,4,1,4,2,1,1,12,0,4,1,2,2,3,3,3,3,3,3,3,3,12,0,6,3,12,0,6,3,
A:\16-05\IndusFont1840Out7\00001008.bmp,3,1,6,2,4,1,4,2,2,1,6,2,1,1,8,2,6,3,3,3,3,3,3,3,3,3,6,3,3,3,12,0,
A:\16-05\IndusFont1840Out7\00001009.bmp,2,1,2,2,1,1,2,2,1,1,2,2,1,1,2,2,3,3,10,0,10,0,10,0,10,0,10,0,3,3,10,0,
A:\16-05\IndusFont1840Out7\00001010.bmp,1,1,13,0,4,2,13,0,13,0,2,2,3,1,4,2,13,0,6,6,13,0,13,0,13,0,3,3,13,0,3,3,
A:\16-05\IndusFont1840Out7\00001011.bmp,2,1,4,2,4,1,4,2,1,1,4,2,4,1,6,2,3,3,3,3,12,0,3,3,12,0,6,3,3,3,6,3,
A:\16-05\IndusFont1840Out7\00001012.bmp,3,1,4,2,2,1,4,2,2,1,6,2,3,1,6,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
A:\16-05\IndusFont1840Out7\00001013.bmp,12,0,2,2,2,1,2,2,12,0,12,0,4,2,12,0,3,3,3,3,12,0,12,0,12,0,12,0,12,0,3,3,
A:\16-05\IndusFont1840Out7\00001014.bmp,3,1,4,2,3,1,4,2,3,1,8,2,5,1,8,2,3,3,3,3,3,3,3,3,6,3,3,3,6,3,3,3,
